Date,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
2003-06-25,-0.0016602388320875658,-0.3831319309714662,-5.5979050197138886e-05,-5.591112786933277e-05,-0.018140776388405288,-5.5938823772879804e-05
2003-08-12,-0.014583862940845843,-0.35358390680284335,-6.319132786161454e-05,-6.31287628209871e-05,-6.379767510979404e-05,-6.316512209734795e-05
2003-09-16,-6.0925746126878343e-05,-0.39169729261463,-6.037340786943085e-05,-6.023482219022161e-05,-6.090594300563834e-05,-6.026746617800764e-05
2003-10-28,-0.00015040599102866483,-0.4332158884097096,-0.00014867140929649873,-0.00014855938427582683,-0.00015009250586987819,-0.00014864645076295179
2003-12-09,-9.477729608347348e-05,-0.2977749507413553,-9.37567598931369e-05,-9.364394620060604e-05,-9.479446632563451e-05,-9.369082522955081e-05
2004-01-28,-0.02478078273698249,-0.3910556527854018,-5.5391701187983e-05,-5.531558515161427e-05,-5.590765204788075e-05,-5.534369981220872e-05
2004-03-16,-0.07084786704667331,-0.3862099262379252,-7.649544624732289e-05,-7.640393660495907e-05,-7.720536462844254e-05,-7.64430531921156e-05
2004-05-04,-0.09589365090070551,-0.4250548123982182,-6.94897775600513e-05,-6.939321237753287e-05,-0.0020220337363106976,-6.942792184797676e-05
2004-06-30,-0.06583238807524194,-0.4955472091954781,-8.880231216269699e-05,-8.859151052189671e-05,-0.007460058973534586,-8.864098997139114e-05
2004-08-10,-0.09075437322657667,-0.32659020764927005,-7.357090434920447e-05,-7.342801883510702e-05,-0.003922551854437119,-7.34716523169456e-05
2004-09-21,-0.11296508076858262,-0.371343984729604,-7.658687087382892e-05,-7.629707584658284e-05,-7.710021864629243e-05,-7.633495183139883e-05
2004-11-10,-0.10675706059459392,-0.38016419884247843,-0.0031666751106658036,-9.850421874635179e-05,-9.96203409245618e-05,-9.855627720630053e-05
2004-12-14,-0.12393947088015331,-0.377888936293434,-0.00010368229726431158,-0.0001025417712434284,-0.05446654278530216,-0.00010259955750846777
2005-02-02,-0.040990391623019276,-0.3432862517020063,-8.284422356286654e-05,-8.268088350936586e-05,-0.08214177048677518,-8.272774779378188e-05
2005-03-22,-0.06829618136654592,-0.3460050649451498,-6.562261960542028e-05,-6.550011006493521e-05,-0.03689098472810806,-6.553511941473249e-05
2005-05-03,-0.07780138302286244,-0.2526209538440871,-5.564276802515125e-05,-5.551486579111804e-05,-5.6123524354245236e-05,-5.554326520246516e-05
2005-06-30,-0.11476414752544642,-0.25400906420847436,-6.816936826769657e-05,-6.805367026906443e-05,-0.0326618169075147,-6.80925823229213e-05
2005-08-09,-0.14792141933142477,-0.2542985295193454,-8.513020416698366e-05,-8.498989739811923e-05,-0.02470935670174352,-8.504036533871247e-05
2005-09-20,-0.1049859532870291,-0.23170249931286177,-0.05594783955278594,-7.334371971905218e-05,-7.412052038244945e-05,-7.338646436459957e-05
2005-11-01,-0.15701433599442605,-0.20843917812814897,-0.07335046196009207,-7.319228675875449e-05,-7.398909772580984e-05,-7.323277675091873e-05
2005-12-13,-0.09578039618381083,-0.3177594211859089,-0.013339476982172613,-7.676598788237077e-05,-0.00023985748010770468,-7.680945284493487e-05
2006-01-31,-0.15273653203232596,-0.36018479655435637,-0.009709448555086604,-9.896392313960264e-05,-0.000107019479865669,-9.901927173962986e-05
2006-03-28,-0.10574741748617249,-0.27362632989504027,-6.0899299191809444e-05,-6.017549832615704e-05,-0.012053360894778833,-6.020853488198415e-05
2006-05-10,-0.14379869879008503,-0.4019228734217018,-8.76946516846258e-05,-8.719945576353214e-05,-0.020449850539401463,-8.724957493003379e-05
2006-06-29,-0.09019144672902817,-0.19704834250692707,-4.848258643053535e-05,-4.838346489385997e-05,-0.019066548535941936,-4.84090800042646e-05
2006-08-08,-0.15177079619828013,-0.2530852394018197,-7.959975508431533e-05,-7.863682228035726e-05,-7.945798368344813e-05,-7.868363195549018e-05
2006-09-20,-0.14968890207526175,-0.24696450663276334,-7.320464193997122e-05,-7.304652449231134e-05,-7.381868411850355e-05,-7.308632692030171e-05
2006-10-25,-0.18840415512289727,-0.2388681389535018,-6.594495776332297e-05,-6.575698760278908e-05,-6.644471325689241e-05,-6.579114903582442e-05
2006-12-12,-0.14267098360576308,-0.17011433761906933,-4.787561449605401e-05,-4.7785842396520355e-05,-4.83068923946284e-05,-4.780966252157315e-05
2007-01-31,-0.1554944919823686,-0.23616680799251014,-5.755675334839325e-05,-5.746373579421614e-05,-5.807867878013723e-05,-5.749274909043975e-05
2007-03-21,-0.15754948227328186,-0.2601737060319171,-6.796945844127379e-05,-6.775932290240058e-05,-0.005150211399019577,-6.779459136083624e-05
2007-05-09,-0.14476291923970178,-0.24926751571931202,-6.114733158134355e-05,-6.097005466530169e-05,-0.01755115060457979,-6.10029325126751e-05
2007-06-28,-0.17036847908046415,-0.19371115568785102,-5.468792477688276e-05,-5.4613899057992964e-05,-0.017700862939502755,-5.464491279169484e-05
2007-08-07,-0.2394654202845056,-0.1716502430797567,-5.78739341485879e-05,-5.777801393375414e-05,-5.8391939585363706e-05,-5.781047856639518e-05
2007-09-18,-0.1802122635444959,-0.09188700242889392,-3.0731030746391504e-05,-3.062603129150448e-05,-3.095836151001088e-05,-3.064082528447946e-05
